date,marketing_spend,temperature,holiday_flag,promo_flag,demand
3/2/2024,264.7630446,27.17385364,0,0,126.2564993
3/3/2024,193.4954077,27.09672031,0,0,134.1052975
3/4/2024,216.3649954,,0,0,147.3601972
3/5/2024,215.8122344,,0,0,135.9342999
3/6/2024,178.4615185,28.22227901,0,0,144.4311496
3/7/2024,192.5324777,25.8197902,0,0,155.7345942
3/8/2024,,27.10182084,0,0,294.0369708
3/9/2024,,26.80843607,0,0,126.8606217
3/10/2024,226.1641529,28.9072805,0,0,133.9309745
3/11/2024,233.6647883,,0,1,157.6170652
3/12/2024,193.2729427,26.88132892,0,1,167.5530472
3/13/2024,229.7463526,27.48005082,0,0,156.1296158
3/14/2024,170.9995506,27.08327691,0,0,148.644358
3/15/2024,221.3834129,26.16259411,0,1,318.1898257
3/16/2024,179.2717066,29.835902,0,0,123.8447616
3/17/2024,,27.82173577,0,0,120.426426
3/18/2024,197.5315748,27.63335946,0,0,122.0663421
3/19/2024,189.5926061,,0,1,138.4171253
3/20/2024,249.1863097,26.8205039,1,0,153.2186351
3/21/2024,188.1833242,28.10820733,0,0,120.174878
3/22/2024,211.0993906,28.62220423,1,0,129.1562678
3/23/2024,265.8662993,25.57672379,0,0,121.6158167
3/24/2024,166.995974,25.78175615,0,0,104.2287442
3/25/2024,184.0805675,26.88975805,0,0,127.514414
3/26/2024,188.2104366,29.19057134,0,0,132.0098821
3/27/2024,138.2196144,29.4968055,0,1,142.3192978
3/28/2024,257.2675932,27.19540388,0,1,154.3847348
3/29/2024,189.1004618,28.03232552,0,1,142.881422
3/30/2024,199.0957026,28.45979352,0,0,123.1533004
3/31/2024,219.7584993,27.46169867,0,0,131.3717889
4/1/2024,232.4566656,26.44813009,0,0,148.0171757
4/2/2024,223.8780435,27.34479961,0,0,165.3990253
4/3/2024,162.7685491,27.93988711,0,0,157.6993363
4/4/2024,,27.31068313,0,0,153.9442148
4/5/2024,174.5923606,28.55707326,0,0,149.3566069
4/6/2024,,29.12492746,1,0,162.7800395
4/7/2024,220.5499952,29.95670544,0,0,156.3616169
4/8/2024,258.0579491,28.95436093,0,0,152.0000966
4/9/2024,123.7378397,31.66304073,0,0,163.904216
4/10/2024,158.1646643,27.49898174,0,0,160.0628482
4/11/2024,149.8129166,28.46041542,1,0,
4/12/2024,200.9734323,28.23943105,0,0,134.6605659
4/13/2024,203.1604468,28.35183691,0,1,163.0330814
4/14/2024,,26.51494539,0,1,156.8257688
4/15/2024,209.544887,29.95655074,0,0,134.7803216
4/16/2024,177.5540646,27.3062086,0,0,146.3948118
4/17/2024,210.4351808,28.95331636,0,0,150.9964626
4/18/2024,,29.18553705,0,0,133.6362854
4/19/2024,194.9661198,29.75665845,0,0,140.9637189
4/20/2024,343.6271258,26.93408112,0,0,128.4195576
4/21/2024,219.7713879,,0,0,122.773845
4/22/2024,191.8895891,30.34662018,0,0,130.2456532
4/23/2024,179.2229824,25.19092882,0,0,133.1400859
4/24/2024,189.0297966,28.34632872,0,1,154.6787132
4/25/2024,205.4814291,24.5093876,0,0,
4/26/2024,160.1461991,27.76326121,0,0,132.1856336
4/27/2024,218.3272064,29.05049748,0,0,
4/28/2024,181.4543593,30.87959676,0,0,
4/29/2024,237.3995315,30.41307613,0,0,139.6739563
4/30/2024,190.8955094,26.14554888,0,0,144.9853649
5/1/2024,232.73693,25.19803546,0,1,177.7697267
5/2/2024,206.1942254,23.44563856,0,0,158.7259754
5/3/2024,211.9915408,26.87427317,0,1,180.2304041
5/4/2024,184.7600706,26.21332869,0,0,146.744605
5/5/2024,238.0323516,27.58001773,0,0,154.8562645
5/6/2024,198.5875386,28.03217553,0,0,156.6079669
5/7/2024,222.930205,29.00889429,0,0,178.8823253
5/8/2024,326.674606,28.52340529,0,0,164.1825991
5/9/2024,159.9645559,25.00198011,0,0,161.8344979
5/10/2024,212.4125979,28.06644151,0,0,154.3795067
5/11/2024,213.7918372,29.23198243,0,0,147.9300029
5/12/2024,203.0986116,29.27574602,0,0,144.9762187
5/13/2024,206.0310175,29.4522543,0,0,154.4430854
5/14/2024,225.5397129,27.37946212,0,0,162.9870598
5/15/2024,290.9305096,26.59081329,0,0,167.2751777
5/16/2024,243.1411021,26.94679062,0,0,146.7735515
5/17/2024,242.1584196,28.70137146,0,0,146.9888981
5/18/2024,156.1876073,29.8901443,0,0,119.3154581
5/19/2024,374.2339942,24.96407472,0,0,124.9779068
5/20/2024,238.3070142,26.885199,0,1,157.6873994
5/21/2024,242.5657533,26.7850239,0,0,156.3262778
5/22/2024,197.1182656,25.99533186,0,0,150.609714
5/23/2024,190.827331,28.95979222,0,0,136.7914528
5/24/2024,196.9903026,26.30996536,0,1,140.8726657
5/25/2024,142.7030737,,0,0,129.7338523
5/26/2024,195.4620927,26.23656472,0,0,131.9196988
5/27/2024,217.1897989,26.03749252,0,0,292.5038314
5/28/2024,248.1112572,26.39015727,0,0,159.3398918
5/29/2024,204.8918127,26.8872771,0,0,165.9628694
5/30/2024,214.9718962,26.84203596,0,0,155.3376904
5/31/2024,205.3459851,24.33517714,1,0,170.6902045
6/1/2024,225.9991818,26.49394138,0,0,154.7232604
6/2/2024,198.7527031,25.28014593,0,0,150.8638243
6/3/2024,223.8297074,26.2958569,1,0,179.097897
6/4/2024,237.766498,22.50341168,0,0,175.8343694
6/5/2024,274.3794857,25.35232433,0,0,185.0837416
6/6/2024,173.4668311,24.50793338,0,0,177.7660795
6/7/2024,188.2911709,,0,0,155.5522545
6/8/2024,151.7342483,27.38310023,0,0,
6/9/2024,160.5703665,22.76653195,0,0,160.6695262
6/10/2024,193.5566529,25.88002189,0,1,175.4035046
6/11/2024,227.0157586,25.93707987,0,0,183.3298009
6/12/2024,200.5760891,24.39666258,0,0,182.4919962
6/13/2024,184.7825376,25.16916963,0,0,162.5788449
6/14/2024,217.3830946,24.0080878,0,0,164.5351751
6/15/2024,350.4193495,24.37568699,0,0,152.6910829
6/16/2024,161.304466,25.90599367,0,0,151.0872362
6/17/2024,186.2400673,22.95031428,0,0,150.5202848
6/18/2024,227.6984629,24.18834251,0,0,170.3775632
6/19/2024,215.0828588,24.96113874,0,1,165.4770667
6/20/2024,203.8205371,24.34993525,0,1,175.4276611
6/21/2024,328.160412,21.27126655,0,0,150.8772271
6/22/2024,157.3199191,20.89546457,0,0,138.9274921
6/23/2024,,22.62012845,0,0,141.2522219
6/24/2024,241.3976251,23.05612819,0,0,143.4901198
6/25/2024,286.8574657,22.42163313,0,0,174.9551074
6/26/2024,201.85141,25.74144363,0,0,159.7968662
6/27/2024,214.6137598,20.86084337,0,0,160.1997561
6/28/2024,197.5235735,24.1364552,0,1,170.8243328
